,portfolio_net_value,benchmark,cum_excess_ret
2013-07-31,1.0,1.0,0.0
2013-08-30,1.013620458489057,1.0584552258905444,-0.044834767401487535
2013-09-30,1.157466190811978,1.1063353926774688,0.05184215484546498
2013-10-31,1.0724487074454576,1.0824649285270147,-3.306505811689897e-05
2013-11-29,1.133074645524018,1.1219779013975388,0.019994545507727238
2013-12-31,1.1610521419867668,1.076231616363473,0.08545910086765697
2014-01-30,1.2590348769864732,1.0366612855494557,0.20661791726292478
2014-02-28,1.2456028207001828,1.0352073863730824,0.19735186571687469
2014-03-31,1.1925830373536643,1.014170321503742,0.1751078989505739
2014-04-30,1.1524376676310264,1.0129845083676094,0.1426146072681712
2014-05-30,1.1960903281830604,1.0168233342089423,0.17670353147040846
2014-06-30,1.2930065711100192,1.0267051103433826,0.2480127775547571
2014-07-31,1.448330412676352,1.114241644859564,0.2828792156129739
2014-08-29,1.5368466651449857,1.122437596220028,0.3366396465455334
2014-09-30,1.6862471756295183,1.196341228224763,0.368009933698649
2014-10-31,1.6798333508910566,1.2211048968720797,0.3435068219775685
2014-11-28,1.799014743766473,1.3429780576771524,0.3146495208967782
2014-12-31,1.8528771857948725,1.5957935845555833,0.15633955674008088
2015-01-30,2.026059991658578,1.5849899249525334,0.25657660695990636
2015-02-27,2.11209941805037,1.6606479618810737,0.2513089027837734
2015-03-31,2.7610844109612454,1.9147981000389027,0.40553624532447974
2015-04-30,3.200362509384601,2.242490265775096,0.39349579985117605
2015-05-29,3.531229976228683,2.384307781062235,0.4336390874169636
2015-06-30,3.562640517826494,2.181895754847161,0.5274275719209236
2015-07-31,3.302430738384547,1.8710215200353786,0.5968680697714357
2015-08-31,2.918920677909436,1.6334116671044707,0.6077331589530499
2015-09-30,2.779893441485892,1.544079995211858,0.6147937237167954
2015-10-30,3.1599970457867403,1.727424245950861,0.6327867555540638
2015-11-30,3.3832140883388617,1.7619304522466017,0.6834496011481079
2015-12-31,3.6454608064518044,1.8337816674037293,0.7201838535706431
2016-01-29,3.0259926543438533,1.4078099905899717,0.7825466073469995
2016-02-29,2.9973522827641657,1.3756596163501724,0.7959189762713478
2016-03-31,3.5119263204571345,1.5511520633896714,0.8400254994511162
2016-04-29,3.403710027918397,1.5177211107157937,0.8307638952810739
