,date,code,weight
8,2014-02-28,000506.SZ,0.03234441959113834
9,2014-02-28,000719.SZ,0.04611495164203511
10,2014-02-28,002325.SZ,0.04922475354853996
11,2014-02-28,002635.SZ,0.05121572494816994
12,2014-02-28,600469.SH,0.024304668248384488
13,2014-02-28,002508.SZ,0.07091519722212528
14,2014-02-28,000028.SZ,0.11166458849549848
0,2014-03-31,600438.SH,0.06442895641342151
1,2014-03-31,600410.SH,0.04547868455122959
2,2014-03-31,600511.SH,0.0873703091764302
3,2014-03-31,600468.SH,0.04171720175943828
4,2014-03-31,600387.SH,0.059960927426135784
5,2014-03-31,600885.SH,0.10113237313537071
6,2014-03-31,002400.SZ,0.10461106494190577
7,2014-03-31,000603.SZ,0.04908121004421569
8,2014-03-31,002368.SZ,0.07096799405487494
9,2014-03-31,002262.SZ,0.06410259971478205
10,2014-03-31,600993.SH,0.04230064628617203
11,2014-03-31,002419.SZ,0.06519534019941997
12,2014-03-31,600729.SH,0.06753324056990519
13,2014-03-31,600312.SH,0.08022200768002251
14,2014-03-31,000852.SZ,0.05589744404667586
0,2014-04-30,000636.SZ,0.04650630471046234
1,2014-04-30,000511.SZ,0.07413272445942375
2,2014-04-30,600171.SH,0.07671892220787008
3,2014-04-30,601616.SH,0.03972296693614739
4,2014-04-30,002325.SZ,0.06947246713785406
5,2014-04-30,600438.SH,0.07428424081581304
6,2014-04-30,002194.SZ,0.055381314328911364
7,2014-04-30,600507.SH,0.04637875795558583
8,2014-04-30,000655.SZ,0.040424850326341674
9,2014-04-30,600387.SH,0.06334973871121818
10,2014-04-30,002317.SZ,0.06887267484799049
11,2014-04-30,600511.SH,0.09559110461254505
12,2014-04-30,002262.SZ,0.07632922048809904
13,2014-04-30,000603.SZ,0.05122005545861397
14,2014-04-30,002219.SZ,0.12161465700312374
0,2014-05-30,002574.SZ,0.0725793844621489
1,2014-05-30,600387.SH,0.06767463296818617
2,2014-05-30,000823.SZ,0.07437703326167544
3,2014-05-30,002444.SZ,0.1074450482772806
4,2014-05-30,600589.SH,0.03650450680333601
5,2014-05-30,002285.SZ,0.07446315802172289
6,2014-05-30,000935.SZ,0.03801036012756772
7,2014-05-30,600790.SH,0.05796601408789446
8,2014-05-30,000688.SZ,0.0633886681541941
9,2014-05-30,002254.SZ,0.04993278480184863
10,2014-05-30,600580.SH,0.08561522613905007
11,2014-05-30,600829.SH,0.04239508787839361
12,2014-05-30,000603.SZ,0.05920568702032218
13,2014-05-30,002498.SZ,0.07825698501009154
14,2014-05-30,002262.SZ,0.09218542298628774
0,2014-06-30,600723.SH,0.07191427748573484
